Name	Drvid	Team	IRating	SR	Flag	DriverRank	FairnessRating	ErstesRennen	LetztesRennen	LetztePlatzierung	DurchschnittPlatzierung	Poles	Rennen	Finish	Quote	Titel	HeisseEisenTitel	Distanz	FuehrungsKm	Incidents	RawPunkte	Punkte	Strafpunkte	PunkteProRennen	BestQuali	BestErgebnis	Siege	Podium	Top5	Top10	Top15	Top20	CleanestDriver	HardCharger	SchnellsteRunde	SeasonPosition	License	RankValue	IsCurrentChamp	IsCurrentHeChamp	
Andreas Stiefl	35938	Damaged Beyond Recognition	3013	4,99		BronzePlus	0,7576	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	4/27/2020 - Spa GP Pits	13	16,5	0	39	33	85	0	0	2636,308	0	270	300	293	-7	7	7	7	0	0	0	8	20	27	2	1	0	0	Class A	2	False	False	
Andreas Iwaschtschenko2	45183	-	2910	4,99	AT	SilberPlus	1,4879	7/22/2019 - Sebring International	4/27/2020 - Spa GP Pits	23	9,7	0	27	22	81	0	0	2020,205	40,558	116	354	329	-25	12	2	2	0	6	10	13	16	21	6	0	1	0	Class A	4	False	False	
Markus Unkhoff	49103	Ahrtal Motorsport SimRacing	986	3,33			100	4/6/2020 - Charlotte Roval	4/20/2020 - Industriefahrten	22	22	0	2	1	50	0	0	145,775	0	5	8	4	-4	2	22	22	0	0	0	0	0	0	0	0	0	0	Class A	0	False	False	
Wolfgang Reicht	46940	Speedworld Junior Team	959	2,29	AT		4,2083	12/2/2019 - Silverstone Grand Prix	4/20/2020 - Industriefahrten	24	19,2	0	11	8	73	0	0	679,928	0	85	59	31	-28	2	15	12	0	0	0	0	2	5	1	0	0	0	Class B	0	False	False	
Simon Grossmann	21414	SimRC.de	5833	4,99	DE		100	3/16/2020 - Okayama Full	4/20/2020 - Industriefahrten	26	4	0	5	2	40	0	0	151,042	3,724	22	48	47	-1	9	3	1	1	1	1	2	2	2	0	0	0	0	Class A	0	False	False	
Hakan Argun	49101	Speedworld Junior Team	619	2,75	AT		100	4/6/2020 - Charlotte Roval	4/13/2020 - VIR Full	27	11	0	2	1	50	0	0	69,711	0	13	14	14	0	7	15	11	0	0	0	0	1	1	0	0	0	0	Class D	0	False	False	
Alexander Nichotz	41367	Vicit eMotorsport Team	909	3,71	DE		0,5524	1/14/2019 - Mid-Ohio Full	4/6/2020 - Charlotte Roval	25	27,9	0	8	7	88	0	0	509,675	0	43	7	6	-1	0	19	20	0	0	0	0	0	1	0	0	0	0	Class C	0	False	False	
Felix Luding	46337	SimRC.de	7232	3,08	DE	Bronze	100	10/28/2019 - Phoenix 2008 Road	4/6/2020 - Charlotte Roval	28	3,8	1	10	6	60	0	0	445,184	32,77	58	141	137	-4	13	1	2	0	3	5	6	6	6	0	0	0	0	Class A	1	False	False	
Bernd Oswald	35939	ART Austria Racing Team	3339	4,41	AT	Gold	0,4606	1/8/2018 - Circuit de Spa-Francorchamps Classic Pits	3/23/2020 - Barcelona National	27	9,9	2	47	44	94	0	0	3474,871	147,469	154	743	733	-10	15	1	1	2	9	24	30	34	38	11	1	0	0	Class A	5	False	False	
Florian Schaden	48564	-	796	2,24	AT		100	3/16/2020 - Okayama Full	3/16/2020 - Okayama Full	17	17	0	1	1	100	0	0	52,136	0	1	8	8	0	8	24	17	0	0	0	0	0	1	0	0	0	0	Class C	0	False	False	
